阿吽の〇〇,呼吸,吐息,欠伸,呼吸,阿吽の呼吸(あうんのこきゅう),二人の息がぴったり合っていること。
瓜の蔓に〇〇はならぬ,糸瓜,果実,茄子,茄子,瓜の蔓に茄子はならぬ(うりのつるになすびはならぬ),平凡な親から非凡な子は生まれない、子は親に似るものだ。
噂をすれば〇が差す,影,日,魔,影,噂をすれば影が差す(うわさをすればかげがさす),その場にいない人の噂をしていると、偶然その噂の人がそこに現れること。人の噂や陰口はほどほどにしなさいという戒め。
〇〇で鯛を釣る,雑魚,海老,小魚,海老,海老で鯛を釣る(えびでたいをつる),小さな投資で大きな利益を得ること。
鬼に〇〇,鉄棒,棍棒,金棒,金棒,鬼に金棒(おににかなぼう),ただでさえ強いものに、より強くなるものを与えること。
〇〇と秋の空,女心,真冬,紅葉,女心,女心と秋の空(おんなごころとあきのそら),変わりやすい秋の空のように、女性の心も変わりやすい。
〇が吹けば桶屋が儲かる,車,風,火,風,風が吹けば桶屋が儲かる(かぜがふけばおけやがもうかる),ある出来事が影響し、めぐりめぐって意外なことが起こること。あてにならないことを期待するたとえ。
火中の〇を拾う,芋,薪,栗,栗,火中の栗を拾う(かちゅうのくりをひろう),自分の利益にはならないのに、そそのかされて他人のために危険をおかすこと。
〇〇は寝て待て,果報,報酬,幸福,果報,果報は寝て待て(かほうはねてまて),果報(幸福、良いこと)は運なので、人事を尽くした後は気長に待つしかないということ。
枯れ木も〇の賑わい,秋,山,森,山,枯れ木も山の賑わい(かれきもやまのにぎわい),役に立たないものでも、いるだけマシということ。
可愛い子には〇をさせよ,嘘,芸,旅,旅,可愛い子には旅をさせよ(かわいいこにはたびをさせよ),子どもがかわいいのなら、甘やかさずに世の中の厳しさを経験させたほうがいい。
窮鼠〇を噛む,猫,舌,犬,猫,窮鼠猫を噛む(きゅうそねこをかむ),力のない鼠でも、追い詰められたら敵である猫に嚙みついてくるということ。弱者も追い詰められたら強者に反撃するたとえ。
木を見て〇を見ず,川,森,海,森,木を見て森を見ず(きをみてもりをみず),小さいことに気を取られて全体が見えていない様子。
口〇丁手〇丁,一,十,八,八,口八丁手八丁(くちはっちょうてはっちょう),口もうまく、やることも達者な人。
〇は災いの門(元),口,嘘,金,口,口は災いの門(口は災いの元)(くちはわざわいのかど),不用意な発言は身を滅ぼす要因になるので、発言には十分に気を付けるように。
継続は〇なり,実,力,功,力,継続は力なり(けいぞくはちからなり),何事もコツコツと続けていれば自分の力になる。
〇〇の仲,腐れ,有終,犬猿,犬猿,犬猿の仲(けんえんのなか),非常に仲が悪いことのたとえ。
後悔〇に立たず,先,後,前,先,後悔先に立たず(こうかいさきにたたず),済んでしまったことを後から悔やんでもどうしようもないこと。
〇に入っては〇に従え,里,郷,家,郷,郷に入っては郷に従え(ごうにいってはごうにしたがえ),住む場所が変われば習慣や風俗も変わるものだからそれに従って生活をするように。
弘法も〇の誤り,紙,初,筆,筆,弘法も筆の誤り(こうぼうもふでのあやまり),弘法大使のような筆の達人でも書き損じることがあることから、どんな達人でも失敗することがあるというたとえ。
山椒は〇〇でもぴりりと辛い,小粒,一口,少量,小粒,山椒は小粒でもぴりりと辛い(さんしょうはこつぶでもぴりりとからい),体は小さくても才能や技量があり、侮れないこと。
〇〇寄れば文殊の知恵,二人,三人,四人,三人,三人寄れば文殊の知恵(さんにんよればもんじゅのちえ),平凡な人でも三人集まれば文殊(知恵を司る菩薩様)の知恵が生まれるということ。
知らぬが〇,善,吉,仏,仏,知らぬが仏(しらぬがほとけ),知ってしまうと腹が立つが、知らないままなら平静でいられる。
〇〇万事塞翁が馬,人間,人生,人命,人間,人間万事塞翁が馬(にんげんばんじさいおうがうま),幸せが不幸に、不幸が幸せに転じることがあるので、出来事にたいして一喜一憂しないほうがいいというたとえ。
〇〇こそものの上手なれ,自ら,好き,嫌い,好き,好きこそものの上手なれ(すきこそもののじょうずなれ),人は好きなことには熱心になれるので上達が早い。
〇〇たるは猶及ばざるが如し,起き,泳ぎ,過ぎ,過ぎ,過ぎたるは猶及ばざるが如し(すぎたるはなおおよばざるがごとし),やりすぎは、不足するのと同じくらい良くないことだ。
〇の涙,雀,鳥,水,雀,雀の涙(すずめのなみだ),ごくわずかなこと。
〇〇の霹靂,他山,青天,赤天,青天,青天の霹靂(せいてんのへきれき),青く晴れ渡った空に突然雷が鳴り響くことから、予期しない出来事が起こることのたとえ。
雪隠で〇〇,喧嘩,釜倉,饅頭,饅頭,雪隠で饅頭(せっちんでまんじゅう),空腹を満たすのに場所をかまわないことのたとえ。
備えあれば〇〇なし,憂い,情け,後悔,憂い,備えあれば憂いなし(そなえあればうれいなし),日ごろから備えておけば、いざと言う時なにも心配がないこと。
〇〇の石,火中,他山,他人,他山,他山の石(たざんのいし),他人のどんな行動でも、自分の知徳を磨いたり反省するための材料になる。
立つ〇〇を濁さず,場所,足跡,鳥跡,鳥跡,立つ鳥跡を濁さず(たつとりあとをにごさず),水鳥が飛び立った後は水が澄んで綺麗なことから、人も綺麗に見苦しくないように立ち去ること。
〇〇を知る者は富む,足る,待つ,遊ぶ,足る,足るを知る者は富む(たるをしるものはとむ),浴深くならずに、分相応なところで満足をすることができる者は、心が豊かである。
罪を憎んで〇を憎まず,己,人,子,人,罪を憎んで人を憎まず(つみをにくんでひとをにくまず),罪は憎むべきだが、罪を犯した人にはそこに至るまでの事情があったのだろうから、人を憎むべきではないということ。
〇の一声,狼,獣,鶴,鶴,鶴の一声(つるのひとこえ),人々の意見が対立しているとき、権力者の一声で否応なしに従うことになること。
〇は熱いうちに打て,鉄,石,鋼,鉄,鉄は熱いうちに打て(てつはあついうちにうて),鉄は熱してやわらかいうちは打っていろいろな形にできるのと同じで、人間も若く柔軟性のあるうちに心身を鍛えることが大事である。
伝家の〇,宝玉,宝刀,名刀,宝刀,伝家の宝刀(でんかのほうとう),いざというときの切り札、決め手。
情けは〇の為ならず,己,他,人,人,情けは人の為ならず(なさけはひとのためならず),人に情けをかけるのは、その人のためになるだけではなく、めぐりめぐって自分にも返ってくるということ。人には親切にしようということ。
〇〇〇を飲まされる,煮え湯,煮え汁,煮え物,煮え湯,煮え湯を飲まされる(にえゆをのまされる),信頼していた人からひどい目にあわされること。
〇〇から目薬,一階,二階,地下,二階,二階から目薬(にかいからめぐすり),物事がうまくいかずにもどかしい様子。回りくどくて効果が得られない。
二〇を追う者は一〇をも得ず,羽,馬,兎,兎,二兎を追う者は一兎をも得ず(にとをおうものはいっとをもえず),同時にふたつのことを得ようとしても結局どちらも失敗してしまうこと。
人間いたるところ〇〇あり,青山,山谷,海山,青山,人間いたるところ青山あり(にんげんいたるところせいざんあり),世の中は広く、死んで骨を埋める場所はたくさんあるのだから、どこにでも行って大いに活躍するといい。
〇に釘,土,糠,鉄,糠,糠に釘(ぬかにくぎ),やわらかい糠に釘を打つように、なんの効き目も手ごたえもない様子。
〇〇猛々しい,旅人,隣人,盗人,盗人,盗人猛々しい(ぬすびとたけだけしい),悪事を働いているのに平然としている様子。盗みを働いたのにずうずうしく知らん顔をしている様子。
〇に鰹節,猫,犬,狐,猫,猫に鰹節(ねこにかつおぶし),猫の側に好物の鰹節を置いておくと危険だ。油断できないことのたとえ。
〇に小判,馬,猫,犬,猫,猫に小判(ねこにこばん),小判のような貴重なものを持っていても、猫にはなんの価値もわからない様子から、価値のわからないものに貴重なものを与えても無意味ということ。
猫の〇,足,目,額,額,猫の額(ねこのひたい),猫は額が狭いことから、狭い場所のたとえ。
〇〇に水,寝耳,小耳,右耳,寝耳,寝耳に水(ねみみにみず),眠っている時に水の音が聞こえて驚くことから、不意に思いがけないことに出くわすことのたとえ。
暖簾に〇押し,足,腕,後,腕,暖簾に腕押し(のれんにうでおし),なんの張り合いも手ごたえもない様子。
人の〇〇見て我が〇〇直せ,中身,容姿,振り,振り,人の振り見て我が振り直せ(ひとのふりみてわがふりなおせ),他人の善悪の行動を見て、自分の行動を反省せよ。
〇に油を注ぐ,火,水,石,火,火に油を注ぐ(ひにあぶらをそそぐ),勢いよく燃えているところに油をそそぐと、勢いが増すことから、騒ぎが大きくさせてしまうことのたとえ。
〇のない所に煙は立たぬ,人,火,嘘,火,火のない所に煙は立たぬ(ひのないところにけむりはたたぬ),まったく根拠がないところから噂がたつことはない。
百聞は〇〇に如かず,一軒,一件,一見,一見,百聞は一見に如かず(ひゃくぶんはいっけんにしかず),人から何度も聞くより、一度自分の目で見るほうがよくわかる。
夫婦喧嘩は〇も食わぬ,犬,鬼,人,犬,夫婦喧嘩は犬も食わぬ(ふうふげんかはいぬもくわぬ),なんでも食べる犬でさえ、夫婦喧嘩には見向きもしない。夫婦喧嘩の原因は夫婦にしかわからないものだから、放っておけばいい。
〇〇中の幸い,旅行,不幸,不良,不幸,不幸中の幸い(ふこうちゅうのさいわい),不幸な出来事の中でも救いがあること。
冬来たりなば春遠からじ,夏,秋,春,春,冬来たりなば春遠からじ(ふゆきたりなばはるとおからじ),厳しい冬が来ても春は必ずやってくることから、今は不幸でもいずれ幸せがやってくるというたとえ。
〇〇で茶を沸かす,へそ,足裏,お尻,へそ,へそで茶を沸かす(へそでちゃをわかす),ばかばかしくて仕方がないこと。
〇〇の横好き,喧嘩,下手,上手,下手,下手の横好き(へたのよこずき),下手なのに、その物事が好きで熱心なこと。
仏の顔も〇〇,一度,二度,三度,三度,仏の顔も三度(ほとけのかおもさんど),仏様のように慈悲深い人でも、ひどいことをくりかえされれば怒るということ。
馬子にも〇〇,衣装,目薬,名馬,衣装,馬子にも衣装(まごにもいしょう),どんな人でも、身なりを整えれば立派に見えるということ。
〇〇〇取りが〇〇〇になる,ウサギ,ミイラ,サナギ,ミイラ,ミイラ取りがミイラになる(みいらとりがみいらになる),ミイラを取りに行ったはずなのに、目的を果たせず自分もミイラになってしまったことから、人を連れ戻しに行ったはずなのに、その場にとどまってしまうこと。
〇が痛い,足,目,耳,耳,耳が痛い(みみがいたい),欠点や弱点を指摘されて聞いているのがつらいこと。
昔取った〇〇,杵柄,名誉,栄誉,杵柄,昔取った杵柄(むかしとったきねづか),若い頃に身に着けた技術や腕前は、年をとっても体が覚えている、衰えないこと。
〇〇に癖あり,名刀,名馬,名人,名馬,名馬に癖あり(めいばにくせあり),優れた才能を持っているものほど、個性的な癖を持っている。
目から〇が落ちる,汗,涙,鱗,鱗,目から鱗が落ちる(めからうろこがおちる),今までわからなかったことが、急に理解できるようになること。
〇には〇を,目,足,手,目,目には目を(めにはめを),自分が害を受けたら、それと同じ方法で復讐すること。
〇は〇屋,茶,餅,鏡,餅,餅は餅屋(もちはもちや),餅は餅屋がついたものが一番おいしいことから、何事もその専門家に任せるのが一番というたとえ。
桃栗三年柿〇年,六,七,八,八,桃栗三年柿八年(ももくりさんねんかきはちねん),実を結ぶまで桃と栗は三年、柿は八年かかることから、何事も成しえるまで時間がかかるということ。
焼け石に〇,水,鉄,氷,水,焼け石に水(やけいしにみず),援助や努力が少なくて、なんの役にも立たないたとえ。
〇に雪折れなし,芝,柳,松,柳,柳に雪折れなし(やなぎにゆきおれなし),柔軟なものは、固いものよりもよく耐えたり丈夫である。
山あり〇あり,森,海,谷,谷,山あり谷あり(やまありたにあり),楽しいこともあれば苦しいこともあるということ。
病は〇から,気,年,熱,気,病は気から(やまいはきから),病気は気持ち次第で重くもなるし軽くもなる。
〇より大きな猪は出ぬ,熊,山,象,山,山より大きな猪は出ぬ(やまよりおおきないのししはでぬ),どんなに大きな猪でも、山よりも大きな猪はいないことから、入れ物より大きな中身はないというたとえ。
〇〇の事を言えば鬼が笑う,今年,去年,来年,来年,来年の事を言えば鬼が笑う(らいねんのことをいえばおにがわらう),明日のことすらわからないのに、来年の事を言うなど鬼でさえ笑ってしまう。将来のことなど予測ができないのだからあれこれ言っても仕方がない。
〇〇は口に苦し,良薬,丸薬,目薬,良薬,良薬は口に苦し(りょうやくはくちににがし),自分のためになる忠告は素直に受け入れにくい。
〇は友を呼ぶ,人,類,友,類,類は友を呼ぶ(るいはともをよぶ),似ている者や、気の合う者は、自然と集まって仲間を作ること。
〇〇は死なず、消え去るのみ,老後,老人,老兵,老兵,老兵は死なず、消え去るのみ(ろうへいはしなず、きえさるのみ),役目の終わったものは表舞台から立ち去るということ。
我が身をつねって人の〇〇を知れ,痛さ,愚か,怖さ,痛さ,我が身をつねって人の痛さを知れ(わがみをつねってひとのいたさをしれ),自分の身をつねることで人の痛さを知ることができる。自分自身の痛みを他人に置き換え、相手を思いやることが大事ということ。
禍を転じて〇と為す,凶,福,吉,福,禍を転じて福と為す(わざわいをてんじてふくとなす),自分にふりかかった禍を、うまく利用して自分の有利になるようにすること。
笑う門には〇来る,吉,幸,福,福,笑う門には福来る(わらうかどにはふくきたる),いつも笑顔でにこやかにしている人の周りには幸せがやってくるということ。
